Street Number	Street Name	Zip Code	Full Address	Latitude	Longitude	Pickup Type	Grade	Geocode	Student Uses Wheelchair	Requires Monitor	Child Safety Restraint System	Neighborhood Safety Score	Proposed Maximium Walk to Stop Distance	Assigned School	Current School Start Time	Current School End Time	School Address	School Latitude	School Longitude
4045	WASHINGTON ST	2131	4045 Washington St	42.291329	-71.123264	Corner	4	25025110103				3	0.5	Bill Lee School	8:30:00 AM	3:10:00 PM	"25 Warren St, 02135"	42.349138	-71.145516
4051	WASHINGTON ST	2131	4051 Washington St	42.29112	-71.12345	D2D	2	25025110103				3	0.4	Rico Petrocelli School	8:30:00 AM	4:00:00 PM	"200 Heath St, 02130"	42.326009	-71.106552
4061	WASHINGTON ST	2131	4061 Washington St # 3	42.29094	-71.12367	D2D	4	25025110103				3	0.5	Joe Dobson School	8:30:00 AM	4:00:00 PM	"61 School St, 02119"	42.313946	-71.097867
1	STOCKTON ST	2124	1 Stockton St	42.28321	-71.07177	Corner	5	25025100400				5	0.4	Larry Lucchino School	8:30:00 AM	3:10:00 PM	"51 Cedar St, 02119"	42.325545	-71.091086
1	WESTINGHOUSE PZ	2136	1 Westinghouse Plz #C:303	42.3594	-71.0587	Corner	1	25025030300				7	0.4	Ellis Kinder School	8:30:00 AM	3:10:00 PM	"60 Hawthorne St, 02136"	42.28301	-71.126357
4228	WASHINGTON ST	2131	4228 Washington St	42.286179	-71.12804	Corner	2	25025110502				4	0.4	Nomar Garciaparra School	8:30:00 AM	3:10:00 PM	"54 Dighton St, 02135"	42.347796	-71.155576
1	CHARLES STREET SOUTH  	2116	1 Charles St S #PH2-C	42.351541	-71.067431	Corner	3	25025070300				5	0.3	Tommy Harper School	8:30:00 AM	4:00:00 PM	"396 Northampton St, 02118"	42.340473	-71.08306
4324	WASHINGTON ST	2131	4324 Washington St	42.28363	-71.13081	Corner	3	25025110502				4	0.5	Dick Bresciani School	7:30:00 AM	3:00:00 PM	"20 Church St, 02116"	42.348816	-71.068212
1	PICKERING AV	2119	1 Pickering Ave	42.32158	-71.08486	Corner	K	25025081700				7	0.3	Don Zimmer School	9:30:00 AM	5:00:00 PM	"67 Alleghany St, 02120"	42.330669	-71.099301
1	CHARLES STREET SOUTH  	2116	1 Charles St S #808	42.351541	-71.067431	Corner	6	25025070300				5	0.4	Harry Hooper School	7:30:00 AM	2:10:00 PM	"9 Peacevale Rd, 02124"	42.285125	-71.076013
4374	WASHINGTON ST	2131	4374 Washington St # 3	42.28224	-71.1323	D2D	3	25025110502				4	0.5	Bruce Hurst School	8:30:00 AM	4:00:00 PM	"144 McBride St, 02130"	42.306584	-71.109228
4387	WASHINGTON ST	2131	4387 Washington St	42.28211	-71.13309	Corner	3	25025110502				4	0.3	Dutch Leonard School	8:30:00 AM	4:00:00 PM	"655 Metropolitan Av, 02136"	42.262783	-71.117881
4440	WASHINGTON ST	2131	4440 Washington St	42.27979	-71.13493	Corner	6	25025110502				4	0.4	Luis Tiant School	9:30:00 AM	5:00:00 PM	"6 Shirley St, 02119"	42.323526	-71.072897
1	HOWLAND ST	2121	1 Howland St	42.31143	-71.08322	Corner	K	25025082000				6	0.3	Tim Wakefield School	9:30:00 AM	4:10:00 PM	"85 Olney St, 02121"	42.306015	-71.073605
4907	WASHINGTON ST	2132	4907 Washington St	42.2693	-71.14869	D2D	5	25025130404				3	0.5	Mel Parnell School	8:30:00 AM	3:10:00 PM	"71 Pleasant St, 02125"	42.31365	-71.059813
4925	WASHINGTON ST	2132	4925 Washington St # 205	42.26889	-71.14924	D2D	1	25025130404				3	0.4	Frank Malzone School	8:30:00 AM	4:00:00 PM	"20 Kearsarge Ave, 02119"	42.327022	-71.081716
4925	WASHINGTON ST	2132	4925 Washington St # 206	42.26889	-71.14924	D2D	5	25025130404				3	0.5	Haywood Sullivan School	9:30:00 AM	4:10:00 PM	"20 Warren St, 02135"	42.350354	-71.145582
1	PARK LA	2127	1 Park Ln #1110	42.34848	-71.038813	Corner	1	25025060600				6	0.2	Herb Pennock School	7:30:00 AM	2:10:00 PM	"100 Maxwell St, 02124"	42.281211	-71.080863
1	HULL STREET CT	2113	1 Hull Street Ct #3	42.36635	-71.05514	Corner	1	25025030100				1	0.4	Larry Lucchino School	8:30:00 AM	3:10:00 PM	"51 Cedar St, 02119"	42.325545	-71.091086
1	STONECREST RD	2126	1 Stonecrest Rd	42.27763	-71.10747	Corner	3	25025101001				4	0.3	Carl Yastrzemski School	7:30:00 AM	3:00:00 PM	"11 Charles St, 02122"	42.300881	-71.061732
1	PARK LA	2127	1 Park Ln #1203	42.34848	-71.038813	D2D	5	25025060600				6	0.5	Lefty Grove School	7:30:00 AM	3:00:00 PM	"150 Norfolk Ave, 02119"	42.326126	-71.071284
4975	WASHINGTON ST	2132	4975 Washington St # 302	42.26799	-71.15106	D2D	1	25025130404				3	0.4	Tris Speaker School	7:30:00 AM	2:10:00 PM	"40 Pershing Rd, 02130"	42.318999	-71.114084
1	DESIGN CENTER  PL	2210	1 Design Center Pl	42.344195	-71.03343	D2D	4	25025981202				7	0.5	Frank Sullivan School	9:30:00 AM	4:10:00 PM	"174 Ipswich St, 02215"	42.346182	-71.094974
1	SHELDON ST	2131	1 Sheldon St	42.28512	-71.12354	Corner	5	25025110401				4	0.5	Jackie Jensen School	8:30:00 AM	3:10:00 PM	"28 Walker St, 02129"	42.379137	-71.067343
5016	WASHINGTON ST	2132	5016 Washington St	42.26602	-71.1515	Corner	K	25025130406				2	0.2	Cecil Hughson School	8:30:00 AM	4:00:00 PM	"18 Croftland Av, 02124"	42.281235	-71.069592
1	CANDOR PL	2130	1 Candor Pl	42.3124	-71.11071	D2D	5	25025120400				3	0.5	Haywood Sullivan School	9:30:00 AM	4:10:00 PM	"20 Warren St, 02135"	42.350354	-71.145582
1	CHARLES STREET SOUTH  	2116	1 Charles St S #401	42.351541	-71.067431	Corner	5	25025070300				5	0.4	Dom DiMaggio School	8:30:00 AM	4:00:00 PM	"60 Washington St, 02121"	42.307152	-71.081162
5023	WASHINGTON ST	2132	5023 Washington St	42.26604	-71.15231	D2D	1	25025130404				3	0.4	Joe Morgan School	8:30:00 AM	3:10:00 PM	"195 Leyden St, 02128"	42.388404	-71.004216
1	WESTINGHOUSE PZ	2136	1 Westinghouse Plz #C:203	42.3594	-71.0587	D2D	K	25025030300				7	0.3	Ellis Kinder School	8:30:00 AM	3:10:00 PM	"60 Hawthorne St, 02136"	42.28301	-71.126357
5050	WASHINGTON ST	2132	5050 Washington St # 336	42.26554	-71.15205	Corner	6	25025130406				2	0.5	Don Zimmer School	9:30:00 AM	5:00:00 PM	"67 Alleghany St, 02120"	42.330669	-71.099301
1	PRESCOTT ST	2128	1 Prescott St # 303	42.380951	-71.031366	D2D	6	25025050901				4	0.5	George Scott School	9:30:00 AM	5:00:00 PM	"152 Arlington St, 02116"	42.34842	-71.068867
5050	WASHINGTON ST	2132	5050 Washington St # 444	42.26554	-71.15205	Corner	1	25025130406				2	0.4	Sr. Kennedy School	8:30:00 AM	3:10:00 PM	"160 Harrishof St, 02119"	42.317688	-71.091564
5050	WASHINGTON ST	2132	5050 Washington St # 218	42.26554	-71.15205	Corner	2	25025130406				2	0.4	Jerry Remy School	8:30:00 AM	4:00:00 PM	"315 Mt Vernon St, 02125"	42.317753	-71.043822
1	PARK LA	2127	1 Park Ln #1207	42.34848	-71.038813	Corner	4	25025060600				6	0.5	Bob Stanley School	9:30:00 AM	5:00:00 PM	"11 Charles St, 02122"	42.300881	-71.061732
1	BIRD PL	2132	1 Bird Pl	42.28366	-71.15774	Corner	2	25025130200				2	0.3	Dick Bresciani School	7:30:00 AM	3:00:00 PM	"20 Church St, 02116"	42.348816	-71.068212
5050	WASHINGTON ST	2132	5050 Washington St # 450	42.26554	-71.15205	Corner	6	25025130406				2	0.5	Bill Lee School	8:30:00 AM	3:10:00 PM	"25 Warren St, 02135"	42.349138	-71.145516
5140	WASHINGTON ST	2132	5140 Washington St # 23	42.26248	-71.1553	D2D	6	25025130406				2	0.5	Frank Sullivan School	9:30:00 AM	4:10:00 PM	"174 Ipswich St, 02215"	42.346182	-71.094974
1	AVERY ST	2111	1 Avery St # 33A	42.353458	-71.062852	D2D	3	25025070101				7	0.5	Everett Scott School	9:30:00 AM	5:00:00 PM	"25 Glen Rd, 02130"	42.308935	-71.103466
5170	WASHINGTON ST	2132	5170 Washington St # 205	42.2619	-71.15603	D2D	6	25025130406				2	0.5	Eddie Kasko School	8:30:00 AM	4:00:00 PM	"97 Peterborough St, 02215"	42.343455	-71.099084
5170	WASHINGTON ST	2132	5170 Washington St	42.2619	-71.15603	Corner	6	25025130406				2	0.5	George Lewis School	8:30:00 AM	3:10:00 PM	"10 Fenwood Rd, 02115"	42.33392	-71.106364
5289	WASHINGTON ST	2132	5289 Washington St # P	42.25921	-71.16013	Corner	4	25025130404				3	0.5	Dick Bresciani School	7:30:00 AM	3:00:00 PM	"20 Church St, 02116"	42.348816	-71.068212
5289	WASHINGTON ST	2132	5289 Washington St # P	42.25921	-71.16013	Corner	1	25025130404				3	0.4	Jimmie Foxx School	7:30:00 AM	3:00:00 PM	"50 Burke St, 02127"	42.337285	-71.085266
5309	WASHINGTON ST	2132	5309 Washington St	42.258514	-71.160918	Corner	2	25025130404				3	0.3	Bill Monbouquette School	8:30:00 AM	4:00:00 PM	"240 Medford St, 02129"	42.380102	-71.061057
1	NASSAU ST	2111	1 Nassau St # 1201	42.34856	-71.062948	Corner	5	25025070200				7	0.5	Ned Martin School	8:30:00 AM	4:00:00 PM	"50 Beechcroft St, 02135"	42.351069	-71.161468
42799	CHILCOTT PL	2130	3-5 Chilcott Pl # 5-1	42.31325	-71.10015	D2D	6	25025120301				5	0.5	Dick Bresciani School	7:30:00 AM	3:00:00 PM	"20 Church St, 02116"	42.348816	-71.068212
1	EVERETT CT	2128	1 Everett Ct	42.36553	-71.02962	D2D	2	25025051200				3	0.4	John Harrington School	8:30:00 AM	4:00:00 PM	"154 Ruskindale Rd, 02126"	42.26739	-71.104443
1	EVERETT CT	2128	1 Everett Ct	42.36553	-71.02962	D2D	2	25025051200				3	0.4	Dick Radatz School	8:30:00 AM	4:00:00 PM	"1205 VFW Pkwy, 02132"	42.282206	-71.174549
43020	STORY ST	2127	10-12 Story St # 1	42.33349	-71.04346	D2D	K	25025060400				2	0.2	Luis Tiant School	9:30:00 AM	5:00:00 PM	"6 Shirley St, 02119"	42.323526	-71.072897
1	NASSAU ST	2111	1 Nassau St # 1508	42.34856	-71.062948	D2D	2	25025070200				7	0.4	Tom Yawkey School	7:30:00 AM	2:10:00 PM	"70 Worcester St, 02118"	42.338748	-71.077747
1	GARDEN ST	2114	1 Garden St # 9	42.360895	-71.067099	Corner	4	25025020200				2	0.5	Frank Malzone School	8:30:00 AM	4:00:00 PM	"20 Kearsarge Ave, 02119"	42.327022	-71.081716
1	AVERY ST	2111	1 Avery St # 102	42.353458	-71.062852	Corner	3	25025070101				7	0.5	Smoky Wood School	9:30:00 AM	5:00:00 PM	"302 Walnut Ave, 02119"	42.316916	-71.092292
1	AVERY ST	2111	1 Avery St # 14G	42.353458	-71.062852	D2D	5	25025070101				7	0.5	Tom Yawkey School	7:30:00 AM	2:10:00 PM	"70 Worcester St, 02118"	42.338748	-71.077747
1	HOLDEN RO	2129	1 Holden Row # 1	42.3782	-71.06541	D2D	5	25025040300				3	0.5	Tony Conigliaro School	8:30:00 AM	3:10:00 PM	"7 Bolster St, 02130"	42.321804	-71.105636
1	NASSAU ST	2111	1 Nassau St # 1706	42.34856	-71.062948	D2D	3	25025070200				7	0.3	Wes Ferrell School	8:30:00 AM	3:10:00 PM	"20 Child St, 02130"	42.307318	-71.114485
1	HUNTINGTON AV	2116	1 Huntington Ave #205	42.34872	-71.07826	Corner	4	25025010600				7	0.5	Harry Hooper School	7:30:00 AM	2:10:00 PM	"9 Peacevale Rd, 02124"	42.285125	-71.076013
1	PRESCOTT ST	2128	1 Prescott St # 102	42.380951	-71.031366	Corner	1	25025050901				4	0.4	Bruce Hurst School	8:30:00 AM	4:00:00 PM	"144 McBride St, 02130"	42.306584	-71.109228
1	PARK LA	2127	1 Park Ln #1501	42.34848	-71.038813	Corner	4	25025060600				6	0.3	Dom DiMaggio School	8:30:00 AM	4:00:00 PM	"60 Washington St, 02121"	42.307152	-71.081162
1	PARK LA	2127	1 Park Ln #1501	42.34848	-71.038813	Corner	2	25025060600				6	0.4	Pete Runnels School	8:30:00 AM	3:10:00 PM	"95 Needham Rd, 02136"	42.243071	-71.124169
1	ATLANTIC ST	2127	1 Atlantic St	42.33453	-71.04643	Corner	5	25025060400				2	0.5	Lefty Grove School	7:30:00 AM	3:00:00 PM	"150 Norfolk Ave, 02119"	42.326126	-71.071284
1	PARK LA	2127	1 Park Ln #2007	42.34848	-71.038813	D2D	2	25025060600				6	0.4	Ellis Burks School	7:30:00 AM	2:10:00 PM	"90 Warren Ave, 02116"	42.344252	-71.07349
1	HUNTINGTON AV	2116	1 Huntington Ave # 904	42.348784	-71.078009	Corner	4	25025010600				7	0.5	Tommy Harper School	8:30:00 AM	4:00:00 PM	"396 Northampton St, 02118"	42.340473	-71.08306
1	CHARLES STREET SOUTH  	2116	1 Charles St S #803	42.351541	-71.067431	Corner	4	25025070300				5	0.3	Dwight Evans School	8:30:00 AM	3:10:00 PM	"90 Warren Ave, 02116"	42.344252	-71.07349
1	MELBOURNE ST	2124	1 Melbourne St # 4-R	42.29158	-71.06625	Corner	K	25025100500				6	0.2	Tony Conigliaro School	8:30:00 AM	3:10:00 PM	"7 Bolster St, 02130"	42.321804	-71.105636
1	DEVENS ST	2129	1 Devens St # 1	42.37384	-71.06369	D2D	2	25025040401				4	0.3	Jimmie Foxx School	7:30:00 AM	3:00:00 PM	"50 Burke St, 02127"	42.337285	-71.085266
1	WESTINGHOUSE PZ	2136	1 Westinghouse Plz #8 (PT BLD*	42.3594	-71.0587	Corner	4	25025030300				7	0.5	Dick Radatz School	8:30:00 AM	4:00:00 PM	"1205 VFW Pkwy, 02132"	42.282206	-71.174549
1	CHARLES STREET SOUTH  	2116	1 Charles St S #5A	42.351541	-71.067431	Corner	2	25025070300				5	0.4	Pedro Martinez School	8:30:00 AM	3:10:00 PM	"60 Glenmont Rd, 02135"	42.345453	-71.160198
1	CHARLES STREET SOUTH  	2116	1 Charles St S #7C	42.351541	-71.067431	Corner	5	25025070300				5	0.5	Bobby Doerr School	7:30:00 AM	2:10:00 PM	"86 White St, 02128"	42.381099	-71.035074
1	REGENT CI	2130	1 Regent Cir #3	42.313585	-71.116789	D2D	1	25025120103				1	0.4	Wes Ferrell School	8:30:00 AM	3:10:00 PM	"20 Child St, 02130"	42.307318	-71.114485
1	PARK LA	2127	1 Park Ln #1710	42.34848	-71.038813	Corner	4	25025060600				6	0.3	Don Zimmer School	9:30:00 AM	5:00:00 PM	"67 Alleghany St, 02120"	42.330669	-71.099301
1	HARVEST TE	2125	1 Harvest Ter	42.32302	-71.05739	Corner	5	25025090700				6	0.4	Ben Mondor School	7:30:00 AM	3:00:00 PM	"205 Townsend St, 02121"	42.316794	-71.084757
1	CHARLES STREET SOUTH  	2116	1 Charles St S #12H	42.351541	-71.067431	Corner	K	25025070300				5	0.3	Pedro Martinez School	8:30:00 AM	3:10:00 PM	"60 Glenmont Rd, 02135"	42.345453	-71.160198
1	PARKMAN PL	2122	1 Parkman Pl	42.29719	-71.05824	Corner	4	25025092101				6	0.5	Jerry Remy School	8:30:00 AM	4:00:00 PM	"315 Mt Vernon St, 02125"	42.317753	-71.043822
1	HASLET ST	2131	1 Haslet St	42.28457	-71.13412	Corner	K	25025110502				4	0.3	Nomar Garciaparra School	8:30:00 AM	3:10:00 PM	"54 Dighton St, 02135"	42.347796	-71.155576
1	GRIMES ST	2127	1 Grimes St	42.33428	-71.05125	D2D	K	25025060800				4	0.3	Eddie Collins School	7:30:00 AM	3:00:00 PM	"50 St Mary St, 02215"	42.347944	-71.106757
1	MEAD STREET CT	2129	1 Mead Street Ct	42.38015	-71.06843	Corner	1	25025040600				3	0.4	Ellis Burks School	7:30:00 AM	2:10:00 PM	"90 Warren Ave, 02116"	42.344252	-71.07349
1	PRESCOTT ST	2128	1 Prescott St # 105	42.380951	-71.031366	D2D	2	25025050901				4	0.4	Jackie Jensen School	8:30:00 AM	3:10:00 PM	"28 Walker St, 02129"	42.379137	-71.067343
2	HAWTHORNE PL	2114	2 Hawthorne Pl # 601	42.364249	-71.066169	Corner	5	25025020301				4	0.5	Wes Ferrell School	8:30:00 AM	3:10:00 PM	"20 Child St, 02130"	42.307318	-71.114485
2	ALDIE ST	2134	2 Aldie St	42.35947	-71.1367	Corner	K	25025000100				5	0.3	Jimmy Piersall School	8:30:00 AM	4:00:00 PM	"35 Baker St, 02132"	42.271834	-71.162543
2	ANDRIA RD	2136	2 Andria Rd	42.26498	-71.10863	Corner	4	25025140400				3	0.5	Rick Burleson School	7:30:00 AM	3:00:00 PM	"35 Sunnyside St, 02136"	42.251551	-71.133338
2	LAROSE PL	2135	2 Larose Pl # 5 PS5	42.34523	-71.1473	D2D	6	25025000401				1	0.5	Jason Varitek School	9:30:00 AM	5:00:00 PM	"205 Roxbury St, 02119"	42.330591	-71.091208
2	HOWE TE	2125	2 Howe Ter # 13	42.310917	-71.064114	D2D	K	25025091500				6	0.3	Curt Gowdy School	7:30:00 AM	3:00:00 PM	"95 G St, 02127"	42.332875	-71.044888
2	HAWTHORNE PL	2114	2 Hawthorne Pl # 11-K	42.363922	-71.06615	Corner	3	25025020301				4	0.5	Curt Gowdy School	7:30:00 AM	3:00:00 PM	"95 G St, 02127"	42.332875	-71.044888
2	AVERY ST	2111	2 Avery St # 30D	42.353067	-71.062842	D2D	4	25025070101				7	0.3	Don Zimmer School	9:30:00 AM	5:00:00 PM	"67 Alleghany St, 02120"	42.330669	-71.099301
2	KEMP ST	2127	2 Kemp St	42.32674	-71.05648	Corner	5	25025061101				6	0.5	Haywood Sullivan School	9:30:00 AM	4:10:00 PM	"20 Warren St, 02135"	42.350354	-71.145582
2	HAWTHORNE PL	2114	2 Hawthorne Pl # 11-O	42.363922	-71.06615	D2D	6	25025020301				4	0.5	John Valentin School	9:30:00 AM	5:00:00 PM	"426 Beech St, 02131"	42.277735	-71.135332
2	HAWTHORNE PL	2114	2 Hawthorne Pl # 5-E	42.363922	-71.06615	Corner	5	25025020301				4	0.4	Rico Petrocelli School	8:30:00 AM	4:00:00 PM	"200 Heath St, 02130"	42.326009	-71.106552
